"Location_ID","ISOCode","CountryAndAreaName","RegionName","DevlopmentStage"
189,"UGA","Uganda","SSA","Least Developed"
190,"UKR","Ukraine","ECA","More Developed"
191,"ARE","United Arab Emirates","MENA","Less Developed"
192,"GBR","United Kingdom","ECA","More Developed"
193,"TZA","United Republic of Tanzania","SSA","Least Developed"
194,"USA","United States","NA","More Developed"
195,"URY","Uruguay","LAC","Less Developed"
196,"UZB","Uzbekistan","ECA","Less Developed"
197,"VUT","Vanuatu","EAP","Least Developed"
198,"VEN","Venezuela (Bolivarian Republic of)","LAC","Less Developed"
199,"VNM","Viet Nam","EAP","Less Developed"
200,"YEM","Yemen","MENA","Least Developed"
201,"ZMB","Zambia","SSA","Least Developed"
202,"ZWE","Zimbabwe","SSA","Less Developed"
