"Education_Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Total","Female","Male","Urban","Rural","Poorest","Second","Middle","Fourth","Richest"
51,51,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,52,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,53,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,54,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,55,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,56,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,57,1,1,9,97.9737167358398,98.2106781005859,97.7274475097656,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,58,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,59,1,1,9,93.2723922729492,92.7140274047852,93.8186798095703,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,60,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,61,1,1,9,95.469367980957,96.6952514648438,94.2976913452148,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,62,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,63,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,64,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,65,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,66,1,1,9,89.7836608886719,91.4493789672852,88.141960144043,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,67,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,68,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,69,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,70,1,1,9,92.490966796875,92.2085494995117,92.7610015869141,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,71,1,1,9,99.1600036621094,99.0699996948242,99.2600021362305,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,72,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,73,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,74,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,75,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,76,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,77,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,78,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,79,1,1,9,96.5158386230469,98.1850967407227,94.8919906616211,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,80,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,81,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,82,1,1,9,91.6640396118164,90.1694107055664,92.9929733276367,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,83,1,1,9,99.7070770263672,99.6962509155273,99.7174835205078,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,84,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,85,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,86,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,87,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,88,1,1,9,99.9300003051758,99.9499969482422,99.9199981689453,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,89,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,90,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,91,1,1,9,99.3437423706055,99.4939117431641,99.1961212158203,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,92,1,1,9,99.8973617553711,99.8509063720703,99.9401397705078,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,93,1,1,9,87.8300018310547,88.0800018310547,87.5899963378906,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,94,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,95,1,1,9,99.0801315307617,99.503547668457,98.7767868041992,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,96,1,1,9,99.75,99.8099975585938,99.6900024414062,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,97,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,98,1,1,9,99.8199996948242,99.8600006103516,99.7799987792969,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,99,1,1,9,99.751823425293,99.838981628418,99.6627426147461,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,100,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,101,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,102,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,103,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,104,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,105,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,106,1,1,9,81.198371887207,80.6780319213867,81.719841003418,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,107,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,108,1,1,9,96.8503265380859,97.0185317993164,96.6958236694336,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,109,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,110,1,1,9,50.1347007751465,43.3981094360352,57.8332595825195,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,111,1,1,9,99.3007125854492,99.5608825683594,99.0569534301758,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,112,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,113,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,114,1,1,9,99.0420303344727,99.3534164428711,98.7379837036133,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,115,1,1,9,99.3184509277344,99.3884735107422,99.2486419677734,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,116,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,117,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,118,1,1,9,98.629997253418,99.0800018310547,98.1900024414062,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,119,1,1,9,99.1100006103516,98.9700012207031,99.2300033569336,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,120,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,121,1,1,9,97.7300033569336,97.4000015258789,98.0400009155273,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,122,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,123,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,124,1,1,9,95.1649017333984,96.1984405517578,94.1093673706055,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,125,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,126,1,1,9,92.3938064575195,90.8834686279297,94.0342788696289,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,127,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,128,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,129,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,130,1,1,9,43.4599990844727,35.560001373291,51.0699996948242,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,131,1,1,9,75.0287475585938,68.2626266479492,81.5806427001953,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,132,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,133,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,134,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,135,1,1,9,98.6178283691406,98.9794311523438,98.3566284179688,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,136,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,137,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,138,1,1,9,99.0990905761719,98.8742904663086,99.3122024536133,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,139,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,140,1,1,9,98.2815170288086,98.8678436279297,97.732421875,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,141,1,1,9,99.0237579345703,98.9669723510742,99.0792007446289,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,142,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,143,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,144,1,1,9,99.6639175415039,99.7015609741211,99.6265716552734,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,145,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,146,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,147,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,148,1,1,9,99.4291915893555,99.4396820068359,99.4193801879883,NULL,NULL,NULL,NULL,NULL,NULL,NULL
