"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value"
223,58,21,2,9,510
224,58,21,2,10,510
225,59,21,2,7,779
226,59,21,2,8,766
227,59,21,2,9,748
228,59,21,2,10,724
229,60,21,2,7,18
230,60,21,2,8,18
231,60,21,2,9,17
232,60,21,2,10,16
233,61,21,2,7,424
234,61,21,2,8,416
235,61,21,2,9,405
236,61,21,2,10,393
237,62,21,2,7,34391
238,62,21,2,8,32957
239,62,21,2,9,31805
240,62,21,2,10,30817
241,63,21,2,7,82
242,63,21,2,8,82
243,63,21,2,9,82
244,63,21,2,10,81
245,64,21,2,7,49
246,64,21,2,8,47
247,64,21,2,9,46
248,64,21,2,10,44
249,65,21,2,7,626
250,65,21,2,8,612
251,65,21,2,9,601
252,65,21,2,10,588
253,66,21,2,7,590
254,66,21,2,8,595
255,66,21,2,9,598
256,66,21,2,10,602
257,67,21,2,7,680
258,67,21,2,8,675
259,67,21,2,9,670
260,67,21,2,10,665
261,68,21,2,7,123
262,68,21,2,8,124
263,68,21,2,9,126
264,68,21,2,10,126
265,69,21,2,7,600
266,69,21,2,8,600
267,69,21,2,9,600
268,69,21,2,10,601
269,70,21,2,7,8034
270,70,21,2,8,7964
271,70,21,2,9,7891
272,70,21,2,10,7824
273,71,21,2,7,102
274,71,21,2,8,99
275,71,21,2,9,95
276,71,21,2,10,91
277,72,21,2,7,6
278,72,21,2,8,6
279,72,21,2,9,6
280,72,21,2,10,6
281,73,21,2,7,1536
282,73,21,2,8,1500
283,73,21,2,9,1465
284,73,21,2,10,1429
285,74,21,2,7,6893
286,74,21,2,8,6840
287,74,21,2,9,6787
288,74,21,2,10,6729
289,75,21,2,7,852
290,75,21,2,8,845
291,75,21,2,9,835
292,75,21,2,10,826
293,76,21,2,7,75
294,76,21,2,8,73
295,76,21,2,9,72
296,76,21,2,10,71
297,77,21,2,7,2895
298,77,21,2,8,2818
299,77,21,2,9,2737
300,77,21,2,10,2665
301,79,21,2,7,987
302,79,21,2,8,959
303,79,21,2,9,929
304,79,21,2,10,902
305,80,21,2,7,103
306,80,21,2,8,99
307,80,21,2,9,95
308,80,21,2,10,91
309,81,21,2,7,2
310,81,21,2,8,2
311,81,21,2,9,2
312,81,21,2,10,2
313,82,21,2,7,160056
314,82,21,2,8,151261
315,82,21,2,9,143191
316,82,21,2,10,135877
317,83,21,2,7,26082
318,83,21,2,8,25424
319,83,21,2,9,24903
320,83,21,2,10,24340
321,84,21,2,7,4773
322,84,21,2,8,4642
323,84,21,2,9,4538
324,84,21,2,10,4452
325,85,21,2,7,11029
326,85,21,2,8,8531
327,85,21,2,9,4008
328,85,21,2,10,3645
329,86,21,2,7,48
330,86,21,2,8,46
331,86,21,2,9,45
332,86,21,2,10,44
333,87,21,2,7,136
334,87,21,2,8,135
335,87,21,2,9,133
336,87,21,2,10,132
337,88,21,2,7,462
338,88,21,2,8,471
339,88,21,2,9,479
340,88,21,2,10,480
341,89,21,2,7,136
342,89,21,2,8,132
343,89,21,2,9,129
344,89,21,2,10,125
345,90,21,2,7,899
346,90,21,2,8,875
347,90,21,2,9,852
348,90,21,2,10,828
349,91,21,2,7,734
350,91,21,2,8,760
351,91,21,2,9,779
352,91,21,2,10,789
353,92,21,2,7,860
354,92,21,2,8,886
355,92,21,2,9,912
356,92,21,2,10,936
357,93,21,2,7,14016
358,93,21,2,8,13932
359,93,21,2,9,13793
360,93,21,2,10,13556
361,94,21,2,7,26
362,94,21,2,8,26
363,94,21,2,9,26
364,94,21,2,10,26
365,95,21,2,7,104
366,95,21,2,8,107
367,95,21,2,9,111
368,95,21,2,10,113
369,96,21,2,7,354
370,96,21,2,8,363
371,96,21,2,9,375
372,96,21,2,10,386
373,97,21,2,7,1420
374,97,21,2,8,1350
375,97,21,2,9,1292
376,97,21,2,10,1243
377,98,21,2,7,33
378,98,21,2,8,31
379,98,21,2,9,29
380,98,21,2,10,28
381,99,21,2,7,235
382,99,21,2,8,261
383,99,21,2,9,223
384,99,21,2,10,216
385,100,21,2,7,412
386,100,21,2,8,400
387,100,21,2,9,390
388,100,21,2,10,380
389,101,21,2,7,2099
390,101,21,2,8,2074
391,101,21,2,9,2042
392,101,21,2,10,2011
